Sat Mar 25 18:00:27 UTC 2023,84.26
Sat Mar 25 18:01:03 UTC 2023,84.26
Sat Mar 25 18:02:21 UTC 2023,84.26
Sat Mar 25 18:05:01 UTC 2023,84.26
Sat Mar 25 18:09:15 UTC 2023,84.26
Sat Mar 25 18:10:01 UTC 2023,84.26
Sat Mar 25 18:12:15 UTC 2023,
Sat Mar 25 18:15:01 UTC 2023,
Sat Mar 25 18:20:01 UTC 2023,
Sat Mar 25 18:25:02 UTC 2023,
Sat Mar 25 18:28:15 UTC 2023,
Sat Mar 25 18:30:02 UTC 2023,
Sat Mar 25 18:31:10 UTC 2023,
Sat Mar 25 18:33:56 UTC 2023,84.39
Sat Mar 25 18:35:02 UTC 2023,84.39
Sat Mar 25 18:40:01 UTC 2023,84.01
Sat Mar 25 18:45:02 UTC 2023,84.01
Sat Mar 25 18:45:36 UTC 2023,84.01
Sat Mar 25 18:50:01 UTC 2023,84.01
Sat Mar 25 18:55:01 UTC 2023,83.70
Sat Mar 25 19:00:02 UTC 2023,83.70
Sat Mar 25 19:05:01 UTC 2023,83.20
Sat Mar 25 19:10:02 UTC 2023,83.20
Sat Mar 25 19:15:03 UTC 2023,82.61
Sat Mar 25 19:20:02 UTC 2023,82.61
Sat Mar 25 19:25:03 UTC 2023,82.61
Sat Mar 25 19:30:03 UTC 2023,82.62
Sat Mar 25 19:35:02 UTC 2023,82.62
Sat Mar 25 19:40:03 UTC 2023,82.70
Sat Mar 25 19:45:24 UTC 2023,82.70
Sat Mar 25 19:50:02 UTC 2023,
Sat Mar 25 19:55:02 UTC 2023,
Sat Mar 25 20:00:03 UTC 2023,82.74
Sat Mar 25 20:05:03 UTC 2023,82.49
Sat Mar 25 20:10:03 UTC 2023,82.49
Sat Mar 25 20:15:03 UTC 2023,83.03
Sat Mar 25 20:20:03 UTC 2023,83.03
Sat Mar 25 20:25:02 UTC 2023,83.03
Sat Mar 25 20:30:02 UTC 2023,83.01
Sat Mar 25 20:35:03 UTC 2023,83.01
Sat Mar 25 20:40:04 UTC 2023,82.96
Sat Mar 25 20:45:02 UTC 2023,82.96
Sat Mar 25 20:50:02 UTC 2023,82.96
Sat Mar 25 20:55:06 UTC 2023,82.96
Sat Mar 25 21:00:03 UTC 2023,82.96
Sat Mar 25 21:05:02 UTC 2023,82.80
Sat Mar 25 21:10:02 UTC 2023,82.80
Sat Mar 25 21:15:02 UTC 2023,83.15
Sat Mar 25 21:20:03 UTC 2023,83.15
Sat Mar 25 21:25:03 UTC 2023,83.15
Sat Mar 25 21:30:03 UTC 2023,83.24
Sat Mar 25 21:35:02 UTC 2023,83.24
Sat Mar 25 21:40:03 UTC 2023,83.17
Sat Mar 25 21:45:02 UTC 2023,83.17
Sat Mar 25 21:50:03 UTC 2023,83.17
Sat Mar 25 21:55:02 UTC 2023,83.26
Sat Mar 25 22:00:03 UTC 2023,83.26
Sat Mar 25 22:05:02 UTC 2023,83.34
Sat Mar 25 22:10:03 UTC 2023,83.34
Sat Mar 25 22:15:02 UTC 2023,83.57
Sat Mar 25 22:20:04 UTC 2023,83.57
Sat Mar 25 22:25:02 UTC 2023,83.57
Sat Mar 25 22:30:03 UTC 2023,83.53
Sat Mar 25 22:35:02 UTC 2023,83.53
Sat Mar 25 22:40:02 UTC 2023,83.45
Sat Mar 25 22:45:02 UTC 2023,83.45
Sat Mar 25 22:50:02 UTC 2023,83.45
Sat Mar 25 22:55:02 UTC 2023,83.47
Sat Mar 25 23:00:03 UTC 2023,83.47
Sat Mar 25 23:05:02 UTC 2023,83.42
Sat Mar 25 23:10:02 UTC 2023,83.42
Sat Mar 25 23:15:02 UTC 2023,83.28
Sat Mar 25 23:20:02 UTC 2023,83.28
Sat Mar 25 23:25:03 UTC 2023,83.28
Sat Mar 25 23:30:03 UTC 2023,83.33
Sat Mar 25 23:35:02 UTC 2023,83.33
Sat Mar 25 23:40:03 UTC 2023,83.53
Sat Mar 25 23:45:02 UTC 2023,83.53
Sat Mar 25 23:50:03 UTC 2023,83.53
Sat Mar 25 23:55:03 UTC 2023,83.59
Sun Mar 26 00:00:02 UTC 2023,83.59
Sun Mar 26 00:05:02 UTC 2023,83.66
Sun Mar 26 00:10:02 UTC 2023,83.66
Sun Mar 26 00:15:03 UTC 2023,83.52
Sun Mar 26 00:20:02 UTC 2023,83.52
Sun Mar 26 00:25:02 UTC 2023,83.52
Sun Mar 26 00:30:03 UTC 2023,83.29
Sun Mar 26 00:35:02 UTC 2023,83.29
Sun Mar 26 00:40:04 UTC 2023,83.23
Sun Mar 26 00:45:02 UTC 2023,83.23
Sun Mar 26 00:50:03 UTC 2023,83.23
Sun Mar 26 00:55:03 UTC 2023,83.98
Sun Mar 26 01:00:02 UTC 2023,83.98
Sun Mar 26 01:05:02 UTC 2023,83.85
Sun Mar 26 01:10:03 UTC 2023,83.85
Sun Mar 26 01:15:04 UTC 2023,84.01
Sun Mar 26 01:20:02 UTC 2023,84.01
Sun Mar 26 01:25:03 UTC 2023,84.01
Sun Mar 26 01:30:03 UTC 2023,84.28
Sun Mar 26 01:35:03 UTC 2023,84.28
Sun Mar 26 01:40:03 UTC 2023,84.80
Sun Mar 26 01:45:02 UTC 2023,84.80
Sun Mar 26 01:50:02 UTC 2023,84.80
Sun Mar 26 01:55:02 UTC 2023,85.56
Sun Mar 26 02:00:03 UTC 2023,85.56
Sun Mar 26 02:05:02 UTC 2023,85.64
Sun Mar 26 02:10:04 UTC 2023,85.64
Sun Mar 26 02:15:02 UTC 2023,85.13
Sun Mar 26 02:20:03 UTC 2023,85.13
Sun Mar 26 02:25:03 UTC 2023,85.13
Sun Mar 26 02:30:04 UTC 2023,85.10
Sun Mar 26 02:35:02 UTC 2023,85.10
Sun Mar 26 02:40:02 UTC 2023,85.24
Sun Mar 26 02:45:02 UTC 2023,85.24
Sun Mar 26 02:50:03 UTC 2023,85.24
Sun Mar 26 02:55:02 UTC 2023,85.22
Sun Mar 26 03:00:03 UTC 2023,85.22
Sun Mar 26 03:05:02 UTC 2023,85.26
Sun Mar 26 03:10:02 UTC 2023,85.26
Sun Mar 26 03:15:03 UTC 2023,85.38
Sun Mar 26 03:20:02 UTC 2023,85.38
Sun Mar 26 03:25:03 UTC 2023,85.38
Sun Mar 26 03:30:02 UTC 2023,85.49
Sun Mar 26 03:35:01 UTC 2023,85.49
Sun Mar 26 03:40:03 UTC 2023,85.11
Sun Mar 26 03:45:02 UTC 2023,85.11
Sun Mar 26 03:50:02 UTC 2023,85.11
Sun Mar 26 03:55:03 UTC 2023,84.99
Sun Mar 26 04:00:03 UTC 2023,84.99
Sun Mar 26 04:05:01 UTC 2023,85.37
Sun Mar 26 04:10:03 UTC 2023,85.37
Sun Mar 26 04:15:02 UTC 2023,85.40
Sun Mar 26 04:20:03 UTC 2023,85.40
Sun Mar 26 04:25:04 UTC 2023,85.40
Sun Mar 26 04:30:03 UTC 2023,85.19
Sun Mar 26 04:35:03 UTC 2023,85.19
Sun Mar 26 04:40:02 UTC 2023,85.40
Sun Mar 26 04:45:03 UTC 2023,85.40
Sun Mar 26 04:50:02 UTC 2023,85.40
Sun Mar 26 04:55:02 UTC 2023,85.46
Sun Mar 26 05:00:02 UTC 2023,85.46
Sun Mar 26 05:05:02 UTC 2023,85.41
Sun Mar 26 05:10:03 UTC 2023,85.41
Sun Mar 26 05:15:03 UTC 2023,85.54
Sun Mar 26 05:20:02 UTC 2023,85.54
Sun Mar 26 05:25:03 UTC 2023,85.54
Sun Mar 26 05:30:04 UTC 2023,85.42
Sun Mar 26 05:35:02 UTC 2023,85.42
Sun Mar 26 05:40:03 UTC 2023,86.09
Sun Mar 26 05:45:02 UTC 2023,86.09
Sun Mar 26 05:50:02 UTC 2023,86.09
Sun Mar 26 05:55:03 UTC 2023,86.48
Sun Mar 26 06:00:04 UTC 2023,86.48
Sun Mar 26 06:05:03 UTC 2023,86.42
Sun Mar 26 06:10:03 UTC 2023,86.42
Sun Mar 26 06:15:02 UTC 2023,86.24
Sun Mar 26 06:20:03 UTC 2023,86.24
Sun Mar 26 06:25:03 UTC 2023,86.24
Sun Mar 26 06:30:03 UTC 2023,86.05
Sun Mar 26 06:35:03 UTC 2023,86.05
Sun Mar 26 06:40:02 UTC 2023,85.94
Sun Mar 26 06:45:02 UTC 2023,85.94
Sun Mar 26 06:50:02 UTC 2023,85.94
Sun Mar 26 06:55:03 UTC 2023,85.78
Sun Mar 26 07:00:03 UTC 2023,85.78
Sun Mar 26 07:05:02 UTC 2023,85.58
Sun Mar 26 07:10:03 UTC 2023,85.58
Sun Mar 26 07:15:02 UTC 2023,85.45
Sun Mar 26 07:20:03 UTC 2023,85.45
Sun Mar 26 07:25:03 UTC 2023,85.45
Sun Mar 26 07:30:02 UTC 2023,85.56
Sun Mar 26 07:35:02 UTC 2023,85.56
Sun Mar 26 07:40:02 UTC 2023,85.39
Sun Mar 26 07:45:03 UTC 2023,85.39
Sun Mar 26 07:50:03 UTC 2023,85.39
Sun Mar 26 07:55:02 UTC 2023,85.36
Sun Mar 26 08:00:02 UTC 2023,85.36
Sun Mar 26 08:05:03 UTC 2023,85.50
Sun Mar 26 08:10:02 UTC 2023,85.50
Sun Mar 26 08:15:02 UTC 2023,85.41
Sun Mar 26 08:20:03 UTC 2023,85.41
Sun Mar 26 08:25:02 UTC 2023,85.41
Sun Mar 26 08:30:03 UTC 2023,85.41
Sun Mar 26 08:35:03 UTC 2023,85.41
Sun Mar 26 08:40:04 UTC 2023,85.73
Sun Mar 26 08:45:02 UTC 2023,85.73
Sun Mar 26 08:50:03 UTC 2023,85.73
Sun Mar 26 08:55:02 UTC 2023,86.00
Sun Mar 26 09:00:02 UTC 2023,86.00
Sun Mar 26 09:05:02 UTC 2023,85.71
Sun Mar 26 09:10:02 UTC 2023,85.71
Sun Mar 26 09:15:03 UTC 2023,85.75
Sun Mar 26 09:20:03 UTC 2023,85.75
Sun Mar 26 09:25:02 UTC 2023,85.75
Sun Mar 26 09:30:03 UTC 2023,85.61
Sun Mar 26 09:35:02 UTC 2023,85.61
Sun Mar 26 09:40:03 UTC 2023,85.45
Sun Mar 26 09:45:03 UTC 2023,85.45
Sun Mar 26 09:50:03 UTC 2023,85.45
Sun Mar 26 09:55:02 UTC 2023,85.49
Sun Mar 26 10:00:03 UTC 2023,85.49
Sun Mar 26 10:05:02 UTC 2023,85.64
Sun Mar 26 10:10:03 UTC 2023,85.64
Sun Mar 26 10:15:03 UTC 2023,85.39
Sun Mar 26 10:20:02 UTC 2023,85.39
Sun Mar 26 10:25:02 UTC 2023,85.39
Sun Mar 26 10:30:03 UTC 2023,85.50
Sun Mar 26 10:35:02 UTC 2023,85.50
Sun Mar 26 10:40:03 UTC 2023,85.47
Sun Mar 26 10:45:02 UTC 2023,85.47
Sun Mar 26 10:50:03 UTC 2023,85.47
Sun Mar 26 10:55:02 UTC 2023,85.71
Sun Mar 26 11:00:02 UTC 2023,85.71
Sun Mar 26 11:05:02 UTC 2023,85.58
Sun Mar 26 11:10:03 UTC 2023,85.58
Sun Mar 26 11:15:02 UTC 2023,85.65
Sun Mar 26 11:20:03 UTC 2023,85.65
Sun Mar 26 11:25:03 UTC 2023,85.65
Sun Mar 26 11:30:03 UTC 2023,85.49
Sun Mar 26 11:35:03 UTC 2023,85.49
Sun Mar 26 11:40:02 UTC 2023,85.21
Sun Mar 26 11:45:02 UTC 2023,85.21
Sun Mar 26 11:50:03 UTC 2023,85.21
Sun Mar 26 11:55:02 UTC 2023,85.53
Sun Mar 26 12:00:03 UTC 2023,85.53
Sun Mar 26 12:05:02 UTC 2023,85.97
Sun Mar 26 12:10:03 UTC 2023,85.97
Sun Mar 26 12:15:02 UTC 2023,85.50
Sun Mar 26 12:20:03 UTC 2023,85.50
Sun Mar 26 12:25:03 UTC 2023,85.50
Sun Mar 26 12:30:03 UTC 2023,85.42
Sun Mar 26 12:35:03 UTC 2023,85.42
Sun Mar 26 12:40:04 UTC 2023,85.60
Sun Mar 26 12:45:03 UTC 2023,85.60
Sun Mar 26 12:50:02 UTC 2023,85.60
Sun Mar 26 12:55:03 UTC 2023,85.94
Sun Mar 26 13:00:03 UTC 2023,85.94
Sun Mar 26 13:05:03 UTC 2023,85.95
Sun Mar 26 13:10:03 UTC 2023,85.95
Sun Mar 26 13:15:02 UTC 2023,85.80
Sun Mar 26 13:20:01 UTC 2023,85.80
Sun Mar 26 13:25:02 UTC 2023,85.80
Sun Mar 26 13:30:01 UTC 2023,85.60
Sun Mar 26 13:35:02 UTC 2023,85.60
Sun Mar 26 13:40:03 UTC 2023,85.85
Sun Mar 26 13:45:02 UTC 2023,85.85
Sun Mar 26 13:50:03 UTC 2023,85.85
Sun Mar 26 13:55:02 UTC 2023,86.23
Sun Mar 26 14:00:03 UTC 2023,86.23
Sun Mar 26 14:05:02 UTC 2023,86.39
Sun Mar 26 14:10:03 UTC 2023,86.39
Sun Mar 26 14:15:02 UTC 2023,86.03
Sun Mar 26 14:20:03 UTC 2023,86.03
Sun Mar 26 14:25:02 UTC 2023,86.03
Sun Mar 26 14:30:03 UTC 2023,85.68
Sun Mar 26 14:35:02 UTC 2023,85.68
Sun Mar 26 14:40:02 UTC 2023,84.99
Sun Mar 26 14:45:03 UTC 2023,84.99
Sun Mar 26 14:50:03 UTC 2023,84.99
Sun Mar 26 14:55:02 UTC 2023,84.51
Sun Mar 26 15:00:03 UTC 2023,84.51
Sun Mar 26 15:05:02 UTC 2023,84.59
Sun Mar 26 15:10:04 UTC 2023,84.59
Sun Mar 26 15:15:02 UTC 2023,84.82
Sun Mar 26 15:20:02 UTC 2023,84.82
Sun Mar 26 15:25:03 UTC 2023,84.82
Sun Mar 26 15:30:03 UTC 2023,84.72
Sun Mar 26 15:35:02 UTC 2023,84.72
Sun Mar 26 15:40:02 UTC 2023,84.45
Sun Mar 26 15:45:03 UTC 2023,84.45
Sun Mar 26 15:50:02 UTC 2023,84.45
Sun Mar 26 15:55:03 UTC 2023,84.46
Sun Mar 26 16:00:02 UTC 2023,84.46
Sun Mar 26 16:05:02 UTC 2023,84.75
Sun Mar 26 16:10:03 UTC 2023,84.75
Sun Mar 26 16:15:02 UTC 2023,84.76
Sun Mar 26 16:20:02 UTC 2023,84.76
Sun Mar 26 16:25:02 UTC 2023,84.76
Sun Mar 26 16:30:02 UTC 2023,84.60
Sun Mar 26 16:35:02 UTC 2023,84.60
Sun Mar 26 16:40:04 UTC 2023,84.70
Sun Mar 26 16:45:03 UTC 2023,84.70
Sun Mar 26 16:50:03 UTC 2023,84.70
Sun Mar 26 16:55:02 UTC 2023,84.65
Sun Mar 26 17:00:03 UTC 2023,84.65
Sun Mar 26 17:05:02 UTC 2023,84.57
Sun Mar 26 17:10:02 UTC 2023,84.57
Sun Mar 26 17:15:02 UTC 2023,84.89
Sun Mar 26 17:20:04 UTC 2023,84.89
Sun Mar 26 17:25:03 UTC 2023,84.89
Sun Mar 26 17:30:03 UTC 2023,84.94
Sun Mar 26 17:35:02 UTC 2023,84.94
Sun Mar 26 17:40:03 UTC 2023,85.05
